# timestamp x y z qx qy qz qw
1780120778.185173273 4.283414778 4.628061134 -0.326465439 -0.015752460 0.021839648 -0.038226943 0.998906197
1780120779.285027981 4.957824288 4.592196513 -0.336143151 -0.009215258 0.032311420 -0.058867877 0.997700168
1780120780.384855509 5.528986757 4.547278016 -0.349136800 0.004826168 0.011975667 -0.086640867 0.996155937
1780120781.483641863 6.149952479 4.397668024 -0.341692739 0.000107119 0.013862452 -0.139689907 0.990098253
1780120782.484635830 6.601148288 4.288642474 -0.338164840 -0.013206787 0.012984630 -0.124029568 0.992105663
1780120783.382442713 6.669499515 4.308100899 -0.374296959 0.017503287 0.026291359 -0.040161631 0.998693868
1780120784.384293318 6.872946608 4.399002239 -0.399109036 -0.002648985 0.043257251 0.044883503 0.998051734
1780120784.784316778 7.028758762 4.460548623 -0.404941550 -0.025464153 0.044725210 0.146333757 0.987895574
1780120785.084297419 7.154234693 4.532416554 -0.416070706 -0.015390681 0.039100657 0.250800771 0.967126279
1780120785.284320116 7.158082604 4.562430467 -0.426412103 -0.006638519 0.036173421 0.366655197 0.929629701
1780120785.484035730 7.128586847 4.585603414 -0.428635354 -0.010880341 0.046016085 0.453469024 0.890016844
1780120785.684140682 7.085358741 4.593872306 -0.432607239 -0.006373900 0.038490813 0.535199731 0.843824080
1780120785.984071970 7.020597058 4.578025323 -0.452201868 -0.013602553 0.037205434 0.635186434 0.771342284
1780120786.283895016 6.971648555 4.573537812 -0.450649770 -0.010258496 0.042502404 0.706404289 0.706456856
1780120786.584009409 6.895339292 4.531477597 -0.439160957 0.000229754 0.034533853 0.787242474 0.615675765
1780120786.983690500 6.815613941 4.500127725 -0.442519920 -0.017437702 0.040729228 0.853397024 0.519375178
1780120787.283896208 6.747096798 4.454272278 -0.425184972 -0.008738323 0.018465016 0.904254777 0.426504377
1780120787.683913231 6.694941750 4.455437252 -0.421860282 -0.000908435 0.030641114 0.937872528 0.345623230
1780120787.984064341 6.632366272 4.428147412 -0.387447408 0.010288736 0.037987340 0.968018368 0.247773168
1780120788.284046650 6.559234409 4.388606767 -0.379507251 0.009911793 0.028045237 0.987783825 0.152965146
1780120789.384075880 6.241735195 4.379742986 -0.377359786 0.040474027 0.010390745 0.994778692 0.093108748
1780120790.483707428 5.840772750 4.402261402 -0.354036167 0.037507309 0.020162112 0.995957669 0.079088635
1780120791.483876467 5.322917807 4.437062241 -0.372084800 0.004469534 0.006249669 0.999843999 0.015904168
1780120792.484295845 4.902315509 4.395349385 -0.345498377 0.013128927 0.001540306 0.999910888 -0.001864088
1780120793.582503796 4.378341435 4.347832862 -0.335855891 0.013696356 0.019021281 0.999714313 0.004678952
1780120794.583865643 3.974960883 4.379756541 -0.316852224 0.014377075 0.003907645 0.999860821 0.007507888
1780120795.583983898 3.341515744 4.343469074 -0.307423881 0.004371412 0.013377391 0.999825968 0.012246209
1780120796.584760904 2.728874945 4.348026434 -0.272155699 0.013200405 0.015597136 0.998335824 0.053926450
1780120797.584769964 2.142330788 4.436618502 -0.265249153 0.004319799 0.017105195 0.998802686 0.045628349
1780120798.684518099 1.536653493 4.363362896 -0.243267631 0.011454172 0.005708131 0.993329963 0.114594081
1780120799.084659100 1.324593202 4.511507203 -0.196184297 0.016385334 0.023436935 0.975901829 0.216328109
